frame,latency_ms,sl_px,sl_y,sl_wait,tl_state,tl_near,tl_red_far,brake_level,tl_brake_req,cmd_speed,cmd_steer
1423,116.96958541870117,-1.0,-1.0,False,UNKNOWN,0.0,False,0,0,,
1424,122.3151683807373,-1.0,-1.0,False,UNKNOWN,0.0,False,0,0,,
1425,123.17609786987305,-1.0,-1.0,False,UNKNOWN,0.0,False,0,0,,
1426,122.85733222961426,-1.0,-1.0,False,UNKNOWN,0.0,False,0,0,,
1427,122.88331985473633,-1.0,-1.0,False,UNKNOWN,0.0,False,0,0,,
1428,123.45480918884277,-1.0,-1.0,False,UNKNOWN,0.0,False,0,0,,
1429,121.21796607971191,-1.0,-1.0,False,RED,74.0,False,0,0,,
1430,120.63479423522949,-1.0,-1.0,False,RED,73.0,False,0,0,,
1431,125.57530403137207,-1.0,-1.0,False,RED,72.0,False,0,0,,
1432,123.07620048522949,-1.0,-1.0,False,RED,72.0,False,2,2,0.0,0.0
1433,123.80456924438477,-1.0,-1.0,False,RED,74.0,False,2,2,0.0,0.0
1434,120.55039405822754,-1.0,-1.0,False,RED,74.0,False,2,2,0.0,0.0
1435,121.08612060546875,-1.0,-1.0,False,RED,74.0,False,2,2,0.0,0.0
1436,122.97916412353516,-1.0,-1.0,False,RED,74.0,False,2,2,0.0,0.0
1437,122.00331687927246,-1.0,-1.0,False,RED,72.0,False,2,2,0.0,0.0
1438,121.32644653320312,-1.0,-1.0,False,RED,73.0,False,2,2,0.0,0.0
1439,122.90620803833008,-1.0,-1.0,False,RED,71.0,False,2,2,0.0,0.0
1440,122.30277061462402,-1.0,-1.0,False,RED,71.0,False,2,2,0.0,0.0
1441,122.4050521850586,-1.0,-1.0,False,RED,73.0,False,2,2,0.0,0.0
1442,122.49994277954102,-1.0,-1.0,False,RED,74.0,False,2,2,0.0,0.0
1443,120.6209659576416,-1.0,-1.0,False,RED,75.0,False,2,2,0.0,0.0
1444,123.5957145690918,-1.0,-1.0,False,RED,73.0,False,2,2,0.0,0.0
1445,121.93727493286133,-1.0,-1.0,False,RED,74.0,False,2,2,0.0,0.0
1446,122.45655059814453,-1.0,-1.0,False,RED,73.0,False,2,2,0.0,0.0
1447,121.91486358642578,-1.0,-1.0,False,RED,73.0,False,2,2,0.0,0.0
1448,123.92115592956543,-1.0,-1.0,False,RED,73.0,False,2,2,0.0,0.0
1449,123.18730354309082,-1.0,-1.0,False,RED,72.0,False,2,2,0.0,0.0
1450,121.05059623718262,-1.0,-1.0,False,RED,74.0,False,2,2,0.0,0.0
1451,122.08151817321777,-1.0,-1.0,False,RED,73.0,False,2,2,0.0,0.0
1452,120.52464485168457,-1.0,-1.0,False,RED,74.0,False,2,2,0.0,0.0
1453,120.80645561218262,-1.0,-1.0,False,RED,71.0,False,2,2,0.0,0.0
1454,122.98846244812012,-1.0,-1.0,False,RED,74.0,False,2,2,0.0,0.0
1455,122.6193904876709,-1.0,-1.0,False,RED,72.0,False,2,2,0.0,0.0
1456,120.73588371276855,-1.0,-1.0,False,RED,77.0,False,2,2,0.0,0.0
1457,123.19445610046387,-1.0,-1.0,False,RED,77.0,False,2,2,0.0,0.0
1458,120.57948112487793,-1.0,-1.0,False,RED,75.0,False,2,2,0.0,0.0
1459,121.57297134399414,-1.0,-1.0,False,RED,75.0,False,2,2,0.0,0.0
1460,120.84174156188965,-1.0,-1.0,False,RED,78.0,False,2,2,0.0,0.0
1461,122.54977226257324,-1.0,-1.0,False,RED,79.0,False,2,2,0.0,0.0
1462,122.89738655090332,-1.0,-1.0,False,RED,78.0,False,2,2,0.0,0.0
1463,120.86153030395508,-1.0,-1.0,False,RED,73.0,False,2,2,0.0,0.0
1464,121.83761596679688,-1.0,-1.0,False,RED,76.0,False,2,2,0.0,0.0
1465,119.53234672546387,-1.0,-1.0,False,RED,78.0,False,2,2,0.0,0.0
1466,121.21057510375977,-1.0,-1.0,False,RED,77.0,False,2,2,0.0,0.0
1467,121.30951881408691,-1.0,-1.0,False,RED,79.0,False,2,2,0.0,0.0
1468,121.01244926452637,-1.0,-1.0,False,RED,78.0,False,2,2,0.0,0.0
1469,121.87409400939941,-1.0,-1.0,False,RED,77.0,False,2,2,0.0,0.0
1470,121.15073204040527,-1.0,-1.0,False,RED,78.0,False,2,2,0.0,0.0
1471,121.77515029907227,-1.0,-1.0,False,RED,79.0,False,2,2,0.0,0.0
1472,121.02866172790527,-1.0,-1.0,False,RED,80.0,False,2,2,0.0,0.0
1473,119.9498176574707,-1.0,-1.0,False,RED,79.0,False,2,2,0.0,0.0
1474,124.86577033996582,-1.0,-1.0,False,RED,79.0,False,2,2,0.0,0.0
1475,124.98712539672852,-1.0,-1.0,False,RED,76.0,False,2,2,0.0,0.0
1476,122.14493751525879,-1.0,-1.0,False,RED,77.0,False,2,2,0.0,0.0
1477,122.97987937927246,-1.0,-1.0,False,RED,76.0,False,2,2,0.0,0.0
1478,123.3968734741211,-1.0,-1.0,False,RED,76.0,False,2,2,0.0,0.0
1479,3389.108896255493,-1.0,-1.0,False,RED,78.0,False,0,0,0.0,0.0
