frame,latency_ms,vote_d,vote_psi,vote_kappa,vote_width,conf,vote_sep,vote_mag,vote_bal,left_ok,right_ok,vote_mode,solve_ms,cte_rear_m,cte_near_m,theta_deg,curvature,conf_eff,lane_width_m,flags,d_near_m,conf_raw,seq,stop_line_dist,crosswalk_dist,judgment_state,cmd_speed,cmd_steer
5,56.12635612487793,-0.10101224482059479,-0.009502213448286057,0.0,3.4800000190734863,0.5108219981193542,0.9999992847442627,0.6870662569999695,0.48696625232696533,1.0,1.0,1.0,0.9207580089569092,-0.10101224482059479,-0.10910159349441528,-0.5444367527961731,0.0,0.5108219981193542,3.4800000190734863,0.0,0.8512864112854004,0.5108219981193542,6.0,1.9783965349197388,-1.0,PASS,2.0,0.0
6,60.4095458984375,-0.10220412909984589,-0.010193565860390663,0.0,3.4800000190734863,0.5110388994216919,0.9999992847442627,0.6866211891174316,0.4885618984699249,1.0,1.0,1.0,0.8965629935264587,-0.10220412909984589,-0.11088207364082336,-0.584048330783844,0.0,0.5110388994216919,3.4800000190734863,0.0,0.8512864112854004,0.5110388994216919,7.0,1.9781928062438965,-1.0,PASS,2.0,0.0
7,55.51505088806152,-0.10116225481033325,-0.009332943707704544,0.0,3.4800000190734863,0.5111269354820251,0.9999992847442627,0.6878776550292969,0.48609891533851624,1.0,1.0,1.0,0.8486440181732178,-0.10116225481033325,-0.10910749435424805,-0.534738302230835,0.0,0.5111269354820251,3.4800000190734863,0.0,0.8512864112854004,0.5111269354820251,8.0,1.9783965349197388,-1.0,PASS,2.0,0.0
8,55.24802207946777,-0.10186751186847687,-0.009091704152524471,0.0,3.4800000190734863,0.5114704370498657,0.9999992847442627,0.6888657212257385,0.4849646985530853,1.0,1.0,1.0,0.9493399858474731,-0.10186751186847687,-0.10960736870765686,-0.5209162831306458,0.0,0.5114704370498657,3.4800000190734863,0.0,0.8512864112854004,0.5114704370498657,9.0,1.9783965349197388,-1.0,PASS,2.0,0.0
9,31.93950653076172,-0.10174253582954407,-0.009117132984101772,0.0,3.4800000190734863,0.5114324688911438,0.9999992847442627,0.6887754201889038,0.4850490987300873,1.0,1.0,1.0,0.7345029711723328,-0.10174253582954407,-0.10950404405593872,-0.5223732590675354,0.0,0.5114324688911438,3.4800000190734863,0.0,0.8512864112854004,0.5114324688911438,10.0,1.9783965349197388,-1.0,PASS,2.0,0.0
10,26.13687515258789,-0.10138900578022003,-0.009336095303297043,0.0,3.4800000190734863,0.5120957493782043,0.9999992847442627,0.6904100775718689,0.48345449566841125,1.0,1.0,1.0,0.7461339831352234,-0.10138900578022003,-0.10933692753314972,-0.5349188446998596,0.0,0.5120957493782043,3.4800000190734863,0.0,0.8512864112854004,0.5120957493782043,11.0,1.978804111480713,-1.0,PASS,2.0,0.0
11,25.42853355407715,-0.10102331638336182,-0.009533152915537357,0.0,3.4800000190734863,0.5118408799171448,0.9999992847442627,0.6897552609443665,0.48412370681762695,1.0,1.0,1.0,0.732587993144989,-0.10102331638336182,-0.10913900285959244,-0.546209454536438,0.0,0.5118408799171448,3.4800000190734863,0.0,0.8512864112854004,0.5118408799171448,12.0,1.9783965349197388,-1.0,PASS,2.0,0.0
12,24.593591690063477,-0.10076504945755005,-0.009945301339030266,0.0,3.4800000190734863,0.510575532913208,0.9999992847442627,0.68649822473526,0.487478643655777,1.0,1.0,1.0,0.7281699776649475,-0.10076504945755005,-0.1092316284775734,-0.5698238015174866,0.0,0.510575532913208,3.4800000190734863,0.0,0.8512864112854004,0.510575532913208,13.0,1.9779889583587646,-1.0,PASS,2.0,0.0
13,28.890609741210938,-0.10086598992347717,-0.01115910243242979,0.0,3.4800000190734863,0.5088365077972412,0.9999992847442627,0.6819564700126648,0.4922849237918854,1.0,1.0,1.0,0.7428079843521118,-0.10086598992347717,-0.11036597937345505,-0.6393694877624512,0.0,0.5088365077972412,3.4800000190734863,0.0,0.8512864112854004,0.5088365077972412,14.0,1.9781928062438965,-1.0,PASS,2.0,0.0
14,27.194976806640625,-0.09981571137905121,-0.012344402261078358,0.0,3.4800000190734863,0.5065483450889587,0.9999992251396179,0.6761738061904907,0.4982790946960449,1.0,1.0,1.0,0.7285810112953186,-0.09981571137905121,-0.11032486706972122,-0.7072821259498596,0.0,0.5065483450889587,3.4800000190734863,0.0,0.8512864112854004,0.5065483450889587,15.0,1.9781928062438965,-1.0,PASS,2.0,0.0
15,27.469873428344727,-0.1009029671549797,-0.011956997215747833,0.0,3.4800000190734863,0.5090087056159973,0.9999992847442627,0.6824094653129578,0.4917990267276764,1.0,1.0,0.0,3.5498828887939453,-0.1009029671549797,-0.1110822781920433,-0.6850854754447937,0.0,0.5090087056159973,3.4800000190734863,0.0,0.8512864112854004,0.5090087056159973,16.0,1.9783965349197388,-1.0,PASS,2.0,0.0
